# Mario Party 4 (USA Rev 1) -- m444dll's demo ball, read out of a Dolphin
# reference capture with MemoryWatcher.  PLAN.md 27.1.
#
# Columns are the module's own lbl_1_bss_1888 (velocity, Vec) and lbl_1_bss_1894
# (position, Vec), read through the MemoryWatcher pointer chain
#     omDLLinfoTbl[slot] (0x801901E0 + 4*slot) -> omDllData.bss (+8) -> offset
# on every frame where omcurovl == 0x34 (DLL_m444dll).
#
# CHANGE ROWS ONLY: a row is written when the six words differ from the previous
# frame's.  A gap therefore means the ball state was BIT-IDENTICAL over that
# span -- which is what the pre-launch hold and the post-landing wait look like.
#
# Capture: port/ref/movies/m444-drop.txt, four CPU players (GWPlayerCfg[i].iscom
# poked to 1), GWSystem.mg_next parked at 43 from frame 9000, pinned reference
# user directory, CustomRTC 1041472800.  frame = the game's GlobalCounter.
frame,velx,vely,velz,posx,posy,posz
12444,0.922908,-1.549579,0.000000,-120.420647,-70.436172,0.000000
12445,1.460640,0.278504,0.000000,-119.497742,-71.985748,0.000000
12446,0.615211,1.925489,0.000000,-118.037102,-71.707245,0.000000
12447,-1.287030,1.430457,0.000000,-117.421890,-69.781754,0.000000
12448,-0.040879,-0.251974,0.000000,-118.644600,-68.504601,0.000000
12449,0.000000,0.000000,0.000000,-118.750000,-70.000000,0.000000
12745,0.000000,-30.000000,0.000000,128.000000,-100.000000,0.000000
12998,0.000000,-19.900002,0.000000,128.000000,-120.199997,0.000000
12999,0.000000,-19.600002,0.000000,128.000000,-140.099991,0.000000
13000,0.000000,-19.300001,0.000000,128.000000,-159.699997,0.000000
13001,0.000000,-19.000000,0.000000,128.000000,-179.000000,0.000000
13002,0.000000,-18.699999,0.000000,128.000000,-198.000000,0.000000
13003,0.000000,-18.400000,0.000000,128.000000,-216.699997,0.000000
13004,0.000000,-18.099998,0.000000,128.000000,-235.099991,0.000000
13005,0.000000,-17.799999,0.000000,128.000000,-253.199982,0.000000
13006,0.000000,-17.499998,0.000000,128.000000,-270.999969,0.000000
13007,0.000000,-17.199997,0.000000,128.000000,-288.499969,0.000000
13008,0.000000,-16.899998,0.000000,128.000000,-305.699951,0.000000
13009,0.000000,-16.600000,0.000000,128.000000,-322.599945,0.000000
13010,0.000000,-16.300001,0.000000,128.000000,-339.199951,0.000000
13011,0.000000,-15.999997,0.000000,128.000000,-355.499939,0.000000
13012,0.000000,-15.699994,0.000000,128.000000,-371.499939,0.000000
13013,0.000000,-15.399993,0.000000,128.000000,-387.199921,0.000000
13014,0.000000,-15.099994,0.000000,128.000000,-402.599915,0.000000
13015,-7.673560,-11.998385,0.000000,122.110146,-416.117798,0.000000
13016,-7.673561,-11.698385,0.000000,114.436577,-428.116241,0.000000
13017,-7.673560,-11.398384,0.000000,106.763008,-439.814606,0.000000
13018,-10.445435,-7.755877,0.000000,96.139496,-448.497437,0.000000
13019,-10.445434,-7.455876,0.000000,85.694054,-456.253357,0.000000
13020,-10.445433,-7.155876,0.000000,75.248611,-463.709229,0.000000
13021,-11.625079,-3.250007,0.000000,63.349499,-467.918549,0.000000
13022,-11.625081,-2.950007,0.000000,51.724422,-471.168579,0.000000
13023,-11.625082,-2.650007,0.000000,40.099342,-474.118530,0.000000
13024,-11.625082,-2.350007,0.000000,28.474264,-476.768585,0.000000
13025,-11.625082,-2.050007,0.000000,16.849184,-479.118591,0.000000
13026,-11.625081,-1.750008,0.000000,5.224104,-481.168610,0.000000
13027,-10.634639,2.370841,0.000000,-9.241154,-480.244476,0.000000
13028,-10.634639,2.670841,0.000000,-19.875792,-477.873657,0.000000
13029,-10.634641,2.970841,0.000000,-30.510429,-475.202820,0.000000
13030,-10.634639,3.270841,0.000000,-41.145065,-472.231995,0.000000
13031,-10.634639,3.570842,0.000000,-51.779701,-468.961151,0.000000
13032,-10.634639,3.870841,0.000000,-62.414337,-465.390320,0.000000
13033,-10.634638,4.170841,0.000000,-73.048965,-461.519501,0.000000
13034,-10.634637,4.470841,0.000000,-83.683601,-457.348602,0.000000
13035,-8.732066,7.111840,0.000000,-93.537369,-451.522919,0.000000
13036,-7.488427,8.097912,0.000000,-102.182564,-444.310638,0.000000
13037,-7.488427,8.397912,0.000000,-109.670990,-436.212769,0.000000
13038,-5.459962,9.620124,0.000000,-116.665306,-427.440369,0.000000
13039,-5.459962,9.920124,0.000000,-122.125275,-417.820251,0.000000
13040,-3.207602,10.686475,0.000000,-127.075569,-407.675964,0.000000
13041,-3.207602,10.986474,0.000000,-130.283173,-396.989502,0.000000
13042,0.248920,11.284518,0.000000,-130.632172,-385.596558,0.000000
13043,0.248920,11.584517,0.000000,-130.383240,-374.312042,0.000000
13044,0.248920,11.884519,0.000000,-130.134308,-362.727539,0.000000
13045,0.248920,12.184518,0.000000,-129.885391,-350.843048,0.000000
13046,0.248920,12.484516,0.000000,-129.636459,-338.658600,0.000000
13047,0.248920,12.784515,0.000000,-129.387558,-326.174133,0.000000
13048,0.248920,13.084515,0.000000,-129.138657,-313.389679,0.000000
13049,0.248920,13.384516,0.000000,-128.889709,-300.305176,0.000000
13050,0.248920,13.684515,0.000000,-128.640778,-286.920654,0.000000
13051,0.248920,13.984515,0.000000,-128.391846,-273.236115,0.000000
13052,0.248920,14.284515,0.000000,-128.142929,-259.251648,0.000000
13053,0.248920,14.584515,0.000000,-127.893997,-244.967148,0.000000
13054,0.248920,14.884517,0.000000,-127.645081,-230.382660,0.000000
13055,0.248920,15.184517,0.000000,-127.396164,-215.498154,0.000000
13056,0.248920,15.484518,0.000000,-127.147247,-200.313599,0.000000
13057,0.248920,15.784517,0.000000,-126.898338,-184.829056,0.000000
13058,0.248920,16.084517,0.000000,-126.649429,-169.044510,0.000000
13059,0.248920,16.384516,0.000000,-126.400490,-152.960022,0.000000
13060,0.248920,16.684515,0.000000,-126.151581,-136.575531,0.000000
13061,0.248920,16.984512,0.000000,-125.902657,-119.891029,0.000000
13062,0.248920,17.284512,0.000000,-125.653748,-102.906509,0.000000
13063,0.248920,17.584513,0.000000,-125.404839,-85.622009,0.000000
13064,9.924480,-11.722462,0.000000,-122.390404,-75.179230,0.000000
13065,8.993653,-10.297175,0.000000,-112.465935,-86.901711,0.000000
13066,8.993652,-9.997174,0.000000,-103.472275,-97.198868,0.000000
13067,8.993652,-9.697175,0.000000,-94.478630,-107.196030,0.000000
13068,8.993651,-9.397175,0.000000,-85.484970,-116.893196,0.000000
13069,8.993652,-9.097175,0.000000,-76.491318,-126.290367,0.000000
13070,8.993650,-8.797174,0.000000,-67.497673,-135.387543,0.000000
13071,8.993649,-8.497171,0.000000,-58.504028,-144.184708,0.000000
13072,8.993649,-8.197170,0.000000,-49.510376,-152.681854,0.000000
13073,8.993648,-7.897169,0.000000,-40.516735,-160.879044,0.000000
13074,8.993646,-7.597168,0.000000,-31.523092,-168.776215,0.000000
13075,8.993646,-7.297168,0.000000,-22.529448,-176.373367,0.000000
13076,8.993646,-6.997169,0.000000,-13.535805,-183.670563,0.000000
13077,8.993646,-6.697167,0.000000,-4.542159,-190.667709,0.000000
13078,8.993645,-6.397166,0.000000,4.451486,-197.364883,0.000000
13079,8.993643,-6.097166,0.000000,13.445127,-203.762054,0.000000
13080,8.993643,-5.797165,0.000000,22.438770,-209.859192,0.000000
13081,8.993641,-5.497165,0.000000,31.432409,-215.656342,0.000000
13082,8.993641,-5.197166,0.000000,40.426048,-221.153534,0.000000
13083,8.993641,-4.897166,0.000000,49.419685,-226.350677,0.000000
13084,8.993642,-4.597166,0.000000,58.413326,-231.247849,0.000000
13085,8.993641,-4.297165,0.000000,67.406967,-235.845016,0.000000
13086,8.993639,-3.997164,0.000000,76.400604,-240.142181,0.000000
13087,-7.061692,-5.977046,0.000000,80.043343,-245.536682,0.000000
13088,-7.061692,-5.677047,0.000000,72.981644,-251.513718,0.000000
13089,-7.061692,-5.377046,0.000000,65.919952,-257.190765,0.000000
13090,-7.061692,-5.077045,0.000000,58.858265,-262.567780,0.000000
13091,-6.456191,6.127648,0.000000,51.984360,-264.262939,0.000000
13092,-6.456190,6.427649,0.000000,45.528168,-258.135254,0.000000
13093,-6.456190,6.727649,0.000000,39.071976,-251.707596,0.000000
13094,-6.456189,7.027649,0.000000,32.615784,-244.979965,0.000000
13095,-6.456189,7.327649,0.000000,26.159595,-237.952301,0.000000
13096,-6.456189,7.627649,0.000000,19.703405,-230.624649,0.000000
13097,-6.456190,7.927649,0.000000,13.247215,-222.997009,0.000000
13098,-6.456190,8.227651,0.000000,6.791026,-215.069366,0.000000
13099,-6.456189,8.527651,0.000000,0.334837,-206.841721,0.000000
13100,-6.456188,8.827651,0.000000,-6.121350,-198.314087,0.000000
13101,-6.456187,9.127653,0.000000,-12.577538,-189.486435,0.000000
13102,-6.456187,9.427653,0.000000,-19.033724,-180.358795,0.000000
13103,-6.456188,9.727654,0.000000,-25.489910,-170.931168,0.000000
13104,-6.456186,10.027654,0.000000,-31.946095,-161.203522,0.000000
13105,-6.456188,10.327653,0.000000,-38.402283,-151.175858,0.000000
13106,-6.456188,10.627652,0.000000,-44.858463,-140.848206,0.000000
